@RELATION BugPrediction-unified-class.arff

    @ATTRIBUTE CC NUMERIC
    @ATTRIBUTE CCL NUMERIC
    @ATTRIBUTE CCO NUMERIC
    @ATTRIBUTE CI NUMERIC
    @ATTRIBUTE CLC NUMERIC
    @ATTRIBUTE CLLC NUMERIC
    @ATTRIBUTE LDC NUMERIC
    @ATTRIBUTE LLDC NUMERIC
    @ATTRIBUTE LCOM5 NUMERIC
    @ATTRIBUTE NL NUMERIC
    @ATTRIBUTE NLE NUMERIC
    @ATTRIBUTE WMC NUMERIC
    @ATTRIBUTE CBO NUMERIC
    @ATTRIBUTE CBOI NUMERIC
    @ATTRIBUTE NII NUMERIC
    @ATTRIBUTE NOI NUMERIC
    @ATTRIBUTE RFC NUMERIC
    @ATTRIBUTE AD NUMERIC
    @ATTRIBUTE CD NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE DLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE TCD NUMERIC
    @ATTRIBUTE TCLOC NUMERIC
    @ATTRIBUTE DIT NUMERIC
    @ATTRIBUTE NOA NUMERIC
    @ATTRIBUTE NOC NUMERIC
    @ATTRIBUTE NOD NUMERIC
    @ATTRIBUTE NOP NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NA NUMERIC
    @ATTRIBUTE NG NUMERIC
    @ATTRIBUTE NLA NUMERIC
    @ATTRIBUTE NLG NUMERIC
    @ATTRIBUTE NLM NUMERIC
    @ATTRIBUTE NLPA NUMERIC
    @ATTRIBUTE NLPM NUMERIC
    @ATTRIBUTE NLS NUMERIC
    @ATTRIBUTE NM NUMERIC
    @ATTRIBUTE NOS NUMERIC
    @ATTRIBUTE NPA NUMERIC
    @ATTRIBUTE NPM NUMERIC
    @ATTRIBUTE NS NUMERIC
    @ATTRIBUTE TLLOC NUMERIC
    @ATTRIBUTE TLOC NUMERIC
    @ATTRIBUTE TNA NUMERIC
    @ATTRIBUTE TNG NUMERIC
    @ATTRIBUTE TNLA NUMERIC
    @ATTRIBUTE TNLG NUMERIC
    @ATTRIBUTE TNLM NUMERIC
    @ATTRIBUTE TNLPA NUMERIC
    @ATTRIBUTE TNLPM NUMERIC
    @ATTRIBUTE TNLS NUMERIC
    @ATTRIBUTE TNM NUMERIC
    @ATTRIBUTE TNOS NUMERIC
    @ATTRIBUTE TNPA NUMERIC
    @ATTRIBUTE TNPM NUMERIC
    @ATTRIBUTE TNS NUMERIC
    @ATTRIBUTE numberOfVersionsUntil NUMERIC
    @ATTRIBUTE numberOfFixesUntil NUMERIC
    @ATTRIBUTE numberOfRefactoringsUntil NUMERIC
    @ATTRIBUTE numberOfAuthorsUntil NUMERIC
    @ATTRIBUTE linesAddedUntil NUMERIC
    @ATTRIBUTE maxLinesAddedUntil NUMERIC
    @ATTRIBUTE avgLinesAddedUntil NUMERIC
    @ATTRIBUTE linesRemovedUntil NUMERIC
    @ATTRIBUTE maxLinesRemovedUntil NUMERIC
    @ATTRIBUTE avgLinesRemovedUntil NUMERIC
    @ATTRIBUTE codeChurnUntil NUMERIC
    @ATTRIBUTE maxCodeChurnUntil NUMERIC
    @ATTRIBUTE avgCodeChurnUntil NUMERIC
    @ATTRIBUTE ageWithRespectTo NUMERIC
    @ATTRIBUTE weightedAgeWithRespectTo NUMERIC
    @ATTRIBUTE cbo NUMERIC
    @ATTRIBUTE dit NUMERIC
    @ATTRIBUTE fanIn NUMERIC
    @ATTRIBUTE fanOut NUMERIC
    @ATTRIBUTE lcom NUMERIC
    @ATTRIBUTE noc NUMERIC
    @ATTRIBUTE numberOfAttributes NUMERIC
    @ATTRIBUTE numberOfAttributesInherited NUMERIC
    @ATTRIBUTE numberOfLinesOfCode NUMERIC
    @ATTRIBUTE numberOfMethods NUMERIC
    @ATTRIBUTE numberOfMethodsInherited NUMERIC
    @ATTRIBUTE numberOfPrivateAttributes NUMERIC
    @ATTRIBUTE numberOfPrivateMethods NUMERIC
    @ATTRIBUTE numberOfPublicAttributes NUMERIC
    @ATTRIBUTE numberOfPublicMethods NUMERIC
    @ATTRIBUTE rfc NUMERIC
    @ATTRIBUTE wmc NUMERIC
    @ATTRIBUTE CvsEntropy NUMERIC
    @ATTRIBUTE CvsWEntropy NUMERIC
    @ATTRIBUTE CvsLinEntropy NUMERIC
    @ATTRIBUTE CvsLogEntropy NUMERIC
    @ATTRIBUTE CvsExpEntropy NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    0,0,0,0,0,0,0,0,1,4,4,54,6,9,6,5,23,0,0.005,1,0,0,18,0.005,1,2,2,0,0,1,199,225,230,30,9,5,18,2,17,2,75,135,184,65,5,199,225,230,30,9,5,18,2,17,2,75,135,184,65,5,8,0,0,1,75.0,24.0,9.375,20.0,12.0,2.5,55.0,19.0,6.875,126.0,5.41524,5,2,2,3,136,0,9,219,191.0,17.0,55,7,1,1.0,16,30.0,53.0,4.49837,0.00690744,0.0084123,0.112806,0.00313656,false
    0.531034,1,8,2,0.4,0.436364,24,24,1,3,3,10,0,6,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,55,60,13,0,13,0,1,13,1,0,1,35,13,1,0,55,60,13,0,13,0,1,13,1,0,1,35,13,1,0,2,0,0,1,11.0,11.0,5.5,3.0,3.0,1.5,8.0,8.0,4.0,126.0,0.142857,2,1,2,0,1,0,13,0,42.0,2.0,8,0,0,13.0,2,2.0,10.0,1.27976,0.00102598,0.00204863,0.0309505,2.74118e-4,false
    0.941664,98,1429,157,0.854409,0.868112,3304,2883,1,10,10,1240,9,62,235,18,75,0.183673,0.15253,606,81,9,40,0.15253,606,1,1,4,4,1,3367,3867,221,25,107,25,57,68,48,3,57,1986,182,48,3,3367,3867,221,25,107,25,57,68,48,3,57,1986,182,48,3,239,59,0,10,14272.0,3055.0,59.7155,13174.0,3055.0,55.1213,1098.0,269.0,4.59414,367.0,80.6008,47,1,38,9,1225,4,107,114,3449.0,50.0,8,2,3,44.0,41,374.0,1169.0,27.9911,0.44194,0.0833288,0.761406,0.156788,true
    0,0,0,0,0,0,0,0,2,3,3,57,2,39,88,1,17,0.0666667,0.015528,5,5,1,14,0.015528,5,0,0,0,0,0,317,336,15,1,15,1,16,12,14,0,16,77,12,14,0,317,336,15,1,15,1,16,12,14,0,16,77,12,14,0,22,9,0,4,584.0,155.0,26.5455,365.0,102.0,16.5909,219.0,53.0,9.95454,173.429,40.4474,37,1,35,2,91,0,15,0,136.0,14.0,8,3,2,0.0,12,34.0,52.0,8.02975,0.0405738,0.124585,8.08011,0.150244,false
    0.0864486,1,8,2,0.0693241,0.0890869,40,40,1,6,6,104,59,6,7,72,83,0.5,0.1537,81,23,1,1,0.160748,86,1,1,0,0,1,446,574,17,1,13,1,11,8,1,0,22,348,8,1,0,449,577,18,1,14,1,11,8,1,0,22,348,8,1,0,82,11,0,9,1715.0,270.0,20.9146,1266.0,524.0,15.439,449.0,265.0,5.47561,222.857,54.4049,21,2,5,16,15,0,13,3,209.0,6.0,12,5,5,0.0,1,57.0,51.0,24.2091,0.238687,0.188789,8.55521,0.312863,false
    0.228616,4,82,10,0.196226,0.19917,104,96,2,5,5,122,21,2,9,9,20,0,0.0754717,40,9,0,1,0.0754717,40,0,0,2,2,0,490,530,4,0,4,0,11,0,0,0,11,366,0,0,0,490,530,4,0,4,0,11,0,0,0,11,366,0,0,0,2,0,0,2,8.0,8.0,4.0,3.0,3.0,1.5,5.0,5.0,2.5,10.7143,6.71429,14,1,2,12,28,2,4,0,246.0,8.0,8,1,4,1.0,0,53.0,55.0,1.47165,0.00752785,0.112489,7.91776,0.140566,false
    0.154153,18,216,35,0.131218,0.178889,335,322,1,7,7,455,17,1,2,47,76,0,0.233494,534,124,0,5,0.228694,534,1,2,0,0,2,1753,2499,176,3,45,3,29,0,4,0,29,1242,131,4,0,1801,2553,192,3,61,3,33,13,8,0,33,1258,144,8,0,43,7,0,8,888.0,445.0,20.6512,427.0,216.0,9.93023,461.0,229.0,10.7209,262.0,102.345,13,1,0,13,351,0,45,131,2262.0,27.0,8,40,24,5.0,3,368.0,449.0,15.6896,0.0637251,0.148811,8.29096,0.20354,false
    0,0,0,0,0,0,0,0,2,6,6,47,7,1,19,6,24,0.0555556,0.0231481,5,3,1,17,0.0217391,5,1,1,0,0,1,211,257,126,1,12,1,18,2,17,0,18,138,116,17,0,225,273,132,1,18,1,19,2,18,0,19,142,116,18,0,15,4,0,5,138.0,90.0,9.2,31.0,5.0,2.06667,107.0,86.0,7.13333,262.0,46.558,6,1,1,5,136,0,12,114,212.0,17.0,8,10,1,0.0,16,69.0,45.0,8.41166,0.00790701,0.0182313,0.217854,0.0150345,false
    0,0,0,0,0,0,0,0,1,5,5,22,8,3,1,6,10,0,0.0615385,4,1,0,4,0.028777,4,0,0,0,0,0,61,74,3,0,3,0,4,3,3,0,4,38,3,3,0,135,160,8,1,8,1,10,3,3,0,10,85,3,3,0,14,5,0,6,19.0,4.0,1.35714,40.0,23.0,2.85714,-21.0,1.0,-1.5,236.143,101.602,2,1,0,2,6,0,3,0,60.0,4.0,8,0,1,0.0,3,16.0,22.0,7.70056,0.00688878,0.0150869,0.194169,0.0105647,false
    0,0,0,0,0,0,0,0,1,1,1,12,6,39,27,11,17,0.142857,0.173077,9,7,1,6,0.173077,9,0,0,1,3,0,43,54,6,0,6,0,6,5,6,0,6,27,5,6,0,43,54,6,0,6,0,6,5,6,0,6,27,5,6,0,26,6,0,7,207.0,50.0,7.96154,164.0,50.0,6.30769,43.0,14.0,1.65385,367.0,104.823,13,1,9,4,1,1,6,0,14.0,2.0,23,1,0,5.0,2,11.0,5.0,9.05061,0.00370299,0.0173837,0.22698,0.0121331,false
    0,0,0,0,0,0,0,0,0,0,0,2,3,11,7,2,4,0.666667,0.47619,10,9,2,1,0.47619,10,1,1,1,2,1,11,18,8,0,2,0,2,1,2,0,8,3,6,8,0,11,18,8,0,2,0,2,1,2,0,8,3,6,8,0,19,3,0,5,76.0,25.0,4.0,51.0,25.0,2.68421,25.0,12.0,1.31579,367.0,118.041,2,2,2,0,0,1,2,5,4.0,1.0,25,1,0,1.0,1,1.0,1.0,4.66145,0.00205793,0.00697458,0.1107,9.26621e-4,false
    0,0,0,0,0,0,0,0,0,0,0,1,3,7,7,1,2,0.5,0.538462,7,6,1,1,0.538462,7,3,3,0,0,1,6,8,10,0,1,0,1,0,1,0,10,1,6,10,0,6,8,10,0,1,0,1,0,1,0,10,1,6,10,0,18,3,0,5,64.0,25.0,3.55556,51.0,25.0,2.83333,13.0,6.0,0.722222,367.0,93.6473,5,4,5,0,0,0,1,6,3.0,1.0,27,1,0,0.0,1,1.0,1.0,4.08525,0.00155648,0.00599796,0.0965694,7.52173e-4,false
    0,0,0,0,0,0,0,0,0,0,0,1,3,5,6,1,2,0.5,0.538462,7,6,1,1,0.538462,7,2,2,1,1,1,6,8,9,0,1,0,1,0,1,0,9,1,6,9,0,6,8,9,0,1,0,1,0,1,0,9,1,6,9,0,18,3,0,5,64.0,25.0,3.55556,51.0,25.0,2.83333,13.0,6.0,0.722222,367.0,93.6473,4,3,4,0,0,1,1,6,3.0,1.0,26,1,0,0.0,1,1.0,1.0,4.08525,0.00155648,0.00599796,0.0965694,7.52173e-4,false
    0.135678,2,2,2,0.0919118,0.10625,25,17,1,3,3,58,6,11,11,2,22,0.761905,0.398496,106,71,16,5,0.398496,106,2,2,1,1,1,160,272,575,13,12,11,20,1,20,4,22,88,564,22,4,160,272,575,13,12,11,20,1,20,4,22,88,564,22,4,64,12,0,7,1384.0,248.0,21.625,1316.0,248.0,20.5625,68.0,44.0,1.0625,367.0,111.665,4,2,2,2,190,0,12,563,164.0,20.0,24,11,0,0.0,20,31.0,58.0,14.0643,0.0448697,0.0244866,0.34434,0.0135106,false
    0,0,0,0,0,0,0,0,1,4,4,30,7,42,58,10,21,0.454545,0.259091,57,39,5,6,0.259091,57,1,1,4,4,1,163,215,6,3,6,3,11,1,10,1,11,67,1,10,1,163,215,6,3,6,3,11,1,10,1,11,67,1,10,1,62,12,0,6,797.0,160.0,12.8548,671.0,160.0,10.8226,126.0,31.0,2.03226,367.0,94.6232,15,1,7,8,28,3,6,0,126.0,8.0,11,5,1,1.0,7,56.0,22.0,11.0206,0.0349722,0.0319309,0.304144,0.0652418,false
    0,0,0,0,0,0,0,0,1,3,3,18,9,8,9,11,18,0.5,0.185629,31,23,4,4,0.185629,31,0,0,1,3,0,136,163,4,0,4,0,7,4,7,0,7,31,4,7,0,136,163,4,0,4,0,7,4,7,0,7,31,4,7,0,43,10,0,8,523.0,180.0,12.1628,524.0,180.0,12.186,-1.0,26.0,-0.0232558,367.0,98.6651,2,1,1,1,10,1,4,0,38.0,5.0,8,0,0,3.0,5,9.0,5.0,14.2655,0.0245038,0.0325488,0.371416,0.0421164,false
    0.213615,79,937,215,0.214335,0.216414,1546,1482,1,13,5,1356,105,161,360,82,508,0.0246914,0.0381808,272,53,10,395,0.0381808,272,1,1,2,2,1,6852,7213,9,3,5,3,426,1,404,0,433,2105,5,411,0,6852,7213,9,3,5,3,426,1,404,0,433,2105,5,411,0,479,70,2,12,22297.0,2482.0,46.5491,16639.0,2576.0,34.737,5658.0,459.0,11.8121,367.0,129.576,156,2,129,36,81003,1,5,4,6571.0,403.0,13,4,16,1.0,387,2603.0,1033.0,43.7616,1.05979,0.250347,9.10871,0.454513,true
    0,0,0,0,0,0,0,0,0,0,0,1,0,4,10,0,1,0.5,0.538462,7,6,1,1,0.538462,7,0,0,0,0,0,6,6,1,0,1,0,1,0,1,0,1,1,0,1,0,6,6,1,0,1,0,1,0,1,0,1,1,0,1,0,19,4,0,4,81.0,25.0,4.26316,76.0,25.0,4.0,5.0,11.0,0.263158,367.0,60.7372,2,1,2,0,0,0,1,0,3.0,1.0,23,1,0,0.0,1,1.0,1.0,4.07501,0.00220824,0.0062193,0.097153,0.00103086,false
    0.16092,1,3,1,0.192982,0.166667,11,9,1,2,2,16,1,1,3,2,10,0,0.0847458,5,0,0,9,0.0847458,5,0,0,0,0,0,54,57,4,0,4,0,8,1,8,0,8,34,1,8,0,54,57,4,0,4,0,8,1,8,0,8,34,1,8,0,13,5,0,4,95.0,68.0,7.30769,88.0,68.0,6.76923,7.0,5.0,0.538462,345.429,47.2707,4,1,1,3,28,0,4,0,50.0,8.0,8,0,0,4.0,8,17.0,16.0,4.07501,0.00220824,0.0062193,0.097153,0.00103086,false
    0.432927,1,16,2,0.267327,0.295203,108,80,1,4,3,75,0,3,4,0,3,1,0.286842,109,63,3,0,0.286842,109,0,0,0,0,0,271,404,14,0,14,0,3,0,2,0,3,161,0,2,0,271,404,14,0,14,0,3,0,2,0,3,161,0,2,0,4,4,0,2,6.0,4.0,1.5,6.0,4.0,1.5,0.0,0.0,0.0,194.0,41.1429,4,1,2,2,3,0,14,0,311.0,3.0,8,14,1,0.0,2,15.0,45.0,4.07501,0.00220824,0.0062193,0.097153,0.00103086,false
    0,0,0,0,0,0,0,0,1,2,2,28,0,5,12,0,10,0.142857,0.168067,20,4,1,6,0.16129,20,0,0,1,1,0,99,106,3,2,3,2,10,0,6,0,10,63,0,6,0,104,111,3,2,3,2,11,0,7,0,11,66,0,7,0,5,2,0,2,52.0,29.0,10.4,28.0,23.0,5.6,24.0,10.0,4.8,103.857,15.8049,9,1,4,5,36,1,3,0,99.0,9.0,38,3,4,0.0,5,44.0,25.0,3.0444,0.0146929,0.00675144,0.079878,0.00390605,false
    0,0,0,0,0,0,0,0,1,3,3,25,0,1,1,0,9,0.111111,0.0776699,8,4,1,8,0.0776699,8,0,0,0,0,0,95,114,3,0,3,0,9,2,8,0,9,68,2,8,0,95,114,3,0,3,0,9,2,8,0,9,68,2,8,0,2,1,0,2,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,22.7143,19.7143,4,1,1,3,28,0,3,0,94.0,8.0,16,0,1,3.0,7,18.0,24.0,1.47165,0.0013687,0.112489,7.91776,0.140566,false
    0.351429,2,8,2,0.304878,0.285714,25,22,1,2,2,23,0,2,3,0,8,0.125,0.114943,10,4,1,7,0.114943,10,0,0,0,0,0,77,82,4,0,4,0,8,3,7,0,8,58,3,7,0,77,82,4,0,4,0,8,3,7,0,8,58,3,7,0,28,3,0,7,253.0,92.0,9.03571,253.0,92.0,9.03571,0.0,9.0,0.0,367.0,44.2716,3,1,2,1,21,0,4,0,71.0,7.0,8,0,1,4.0,6,11.0,22.0,3.9771,0.00236469,0.00585268,0.0940532,7.56986e-4,false
    0.472269,4,16,4,0.410072,0.449153,57,53,1,2,2,32,1,2,5,2,12,0.1,0.078125,10,4,1,9,0.078125,10,0,0,0,0,0,118,139,5,0,5,0,10,4,9,0,10,86,4,9,0,118,139,5,0,5,0,10,4,9,0,10,86,4,9,0,7,2,0,5,47.0,20.0,6.71429,47.0,15.0,6.71429,0.0,8.0,0.0,231.571,59.6231,5,1,2,3,36,0,5,0,115.0,9.0,16,0,1,4.0,8,24.0,31.0,3.9771,0.00328111,0.00585268,0.0940532,7.56986e-4,false
    0.334239,2,8,2,0.294118,0.275,25,22,1,2,2,23,0,1,4,0,8,0.125,0.111111,10,4,1,7,0.111111,10,0,0,0,0,0,80,85,4,0,4,0,8,3,7,0,8,58,3,7,0,80,85,4,0,4,0,8,3,7,0,8,58,3,7,0,9,4,0,6,27.0,15.0,3.0,18.0,6.0,2.0,9.0,9.0,1.0,281.571,121.439,2,1,1,1,21,0,4,0,74.0,7.0,8,0,1,4.0,6,11.0,22.0,3.9771,0.00256106,0.00585268,0.0940532,7.56986e-4,false
    0.457143,6,25,6,0.413793,0.451613,60,56,1,2,2,34,1,19,45,2,13,0.0909091,0.0746269,10,4,1,10,0.0746269,10,0,0,0,0,0,124,145,4,0,4,0,11,3,10,0,11,91,3,10,0,124,145,4,0,4,0,11,3,10,0,11,91,3,10,0,39,5,0,6,533.0,147.0,13.6667,455.0,147.0,11.6667,78.0,35.0,2.0,367.0,47.9743,17,1,14,3,45,0,4,0,122.0,10.0,16,0,1,4.0,9,26.0,33.0,3.9771,0.00318468,0.00585268,0.0940532,7.56986e-4,false
    0.442464,4,16,4,0.385714,0.420168,54,50,1,2,2,31,0,11,31,0,11,0.0909091,0.0775194,10,4,1,10,0.0775194,10,0,0,0,0,0,119,140,4,0,4,0,11,3,10,0,11,88,3,10,0,119,140,4,0,4,0,11,3,10,0,11,88,3,10,0,7,2,0,3,64.0,25.0,9.14286,49.0,26.0,7.0,15.0,8.0,2.14286,184.571,24.154,8,1,6,2,45,0,4,0,117.0,10.0,16,0,1,4.0,9,24.0,30.0,5.56106,0.00443884,0.00764241,0.129385,7.82103e-4,false
    0.4375,4,16,4,0.385714,0.420168,54,50,1,2,2,31,0,1,1,0,11,0.0909091,0.0775194,10,4,1,10,0.0775194,10,0,0,0,0,0,119,140,4,0,4,0,11,3,10,0,11,88,3,10,0,119,140,4,0,4,0,11,3,10,0,11,88,3,10,0,3,1,0,3,21.0,20.0,7.0,13.0,12.0,4.33333,8.0,8.0,2.66667,122.857,4.41497,3,1,1,2,45,0,4,0,117.0,10.0,16,0,1,4.0,9,24.0,30.0,2.27054,0.00230197,0.00387962,0.0557912,7.23901e-4,false
    0.712871,6,25,6,0.655556,0.658824,59,56,1,2,2,26,2,2,10,3,11,0,0.0860215,8,1,0,8,0.0860215,8,0,0,0,0,0,85,90,4,0,4,0,8,3,7,0,8,61,3,7,0,85,90,4,0,4,0,8,3,7,0,8,61,3,7,0,31,4,0,7,242.0,95.0,7.80645,238.0,95.0,7.67742,4.0,9.0,0.129032,367.0,53.6429,3,1,2,2,21,0,4,0,79.0,7.0,8,0,1,4.0,6,17.0,25.0,3.9771,0.00256106,0.00585268,0.0940532,7.56986e-4,false
    0.542787,5,22,5,0.533333,0.541176,48,46,1,2,2,27,2,2,5,2,10,0,0.076087,7,1,0,8,0.076087,7,0,0,0,0,0,85,90,4,0,4,0,8,3,7,0,8,61,3,7,0,85,90,4,0,4,0,8,3,7,0,8,61,3,7,0,31,4,0,7,242.0,95.0,7.80645,239.0,95.0,7.70968,3.0,9.0,0.0967742,367.0,53.6429,4,1,2,2,21,0,4,0,79.0,7.0,8,0,1,4.0,6,17.0,26.0,3.9771,0.00256106,0.00585268,0.0940532,7.56986e-4,false
    0,0,0,0,0,0,0,0,2,3,3,22,1,15,29,1,9,0.714286,0.301775,51,34,5,2,0.291866,61,0,0,0,0,0,118,178,39,0,39,0,8,36,6,0,8,49,36,6,0,148,222,43,0,43,0,10,36,8,0,10,65,36,8,0,18,9,0,4,237.0,200.0,13.1667,69.0,43.0,3.83333,168.0,157.0,9.33333,166.714,9.8692,14,1,6,8,10,0,39,0,80.0,5.0,8,3,2,36.0,3,29.0,15.0,11.6815,0.0310828,0.147029,8.20478,0.219187,false
    0,0,0,0,0,0,0,0,1,2,2,29,0,10,45,0,15,0.125,0.132653,13,6,2,14,0.132653,13,0,0,0,0,0,85,123,4,0,4,0,15,1,15,0,15,53,1,15,0,85,123,4,0,4,0,15,1,15,0,15,53,1,15,0,35,5,0,6,391.0,131.0,11.1714,329.0,131.0,9.4,62.0,32.0,1.77143,367.0,38.0018,9,1,7,2,66,0,4,0,78.0,12.0,8,0,0,4.0,12,21.0,25.0,7.10696,0.00527875,0.127566,8.06834,0.17271,false
    0.0716216,1,4,1,0.0666667,0.0763359,10,10,1,3,3,46,0,28,91,0,12,0.0833333,0.0965517,14,6,1,11,0.0965517,14,0,0,0,0,0,131,150,4,1,4,1,12,4,11,0,12,114,4,11,0,131,150,4,1,4,1,12,4,11,0,12,114,4,11,0,7,3,0,4,22.0,12.0,3.14286,11.0,4.0,1.57143,11.0,11.0,1.57143,193.857,83.013,25,1,23,2,55,0,4,0,127.0,11.0,16,0,1,4.0,10,31.0,45.0,8.23039,0.00710727,0.0132931,0.198222,0.00483248,false
    0,0,0,0,0,0,0,0,1,2,2,18,1,1,3,1,11,0,0.0769231,5,0,0,11,0.0769231,5,0,0,0,0,0,60,82,4,0,4,0,10,1,10,0,10,36,1,10,0,60,82,4,0,4,0,10,1,10,0,10,36,1,10,0,29,5,0,4,280.0,93.0,9.65517,256.0,93.0,8.82759,24.0,25.0,0.827586,367.0,34.4097,3,1,1,2,45,0,4,0,64.0,10.0,8,0,0,4.0,10,20.0,18.0,4.07501,0.00220824,0.0062193,0.097153,0.00103086,false
    0.0870279,1,4,1,0.0806452,0.0952381,10,10,1,3,3,37,0,26,43,0,11,0.0909091,0.125,15,6,1,10,0.125,15,0,0,0,0,0,105,124,3,0,3,0,11,3,10,0,11,91,3,10,0,105,124,3,0,3,0,11,3,10,0,11,91,3,10,0,3,0,0,2,16.0,15.0,5.33333,1.0,1.0,0.333333,15.0,15.0,5.0,112.0,38.3036,24,1,21,3,45,0,3,0,103.0,10.0,16,0,1,3.0,9,27.0,36.0,2.57445,0.00521829,0.00736652,0.0724262,0.00868141,false
    0.100318,1,3,1,0.0887097,0.0952381,11,10,1,3,3,37,1,3,4,2,13,0.0909091,0.117647,14,6,1,10,0.117647,14,0,0,0,0,0,105,124,3,0,3,0,11,3,10,0,11,91,3,10,0,105,124,3,0,3,0,11,3,10,0,11,91,3,10,0,6,0,0,3,302.0,143.0,50.3333,287.0,143.0,47.8333,15.0,143.0,2.5,84.5714,23.6272,7,1,3,4,45,0,3,0,103.0,10.0,16,0,1,3.0,9,27.0,36.0,2.4812,0.126859,0.00751672,0.0709051,0.0103292,false
    0.159949,3,24,5,0.0890688,0.116959,66,60,12,5,5,145,8,128,332,9,32,0.826087,0.296245,213,140,19,4,0.29436,214,1,1,0,0,1,506,734,18,7,6,7,23,4,22,0,23,341,16,22,0,513,741,18,7,6,7,25,4,24,0,25,344,16,24,0,87,19,0,7,3123.0,378.0,35.8966,2127.0,378.0,24.4483,996.0,216.0,11.4483,363.857,109.912,61,1,44,17,171,0,6,12,513.0,19.0,8,2,1,0.0,18,143.0,120.0,25.9159,0.159701,0.199802,8.61679,0.33165,true
    0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,1,7,7,11,3,5,0,0,0,0,0,11,0,1,9,3,7,7,11,3,5,0,0,0,0,0,11,0,1,9,3,13,4,0,7,52.0,17.0,4.0,7.0,4.0,0.538462,45.0,17.0,3.46154,226.571,29.2555,1,4,1,0,0,0,5,6,0.0,1.0,21,0,0,5.0,1,1.0,0.0,7.68944,0.00208409,0.0130856,0.187608,0.00572797,false
    0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0.5,3,3,0,1,0.5,3,3,3,3,7,1,3,8,8,7,1,0,0,0,0,0,17,0,0,10,6,3,8,8,7,1,0,0,0,0,0,17,0,0,10,6,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8571,0,1,4,1,0,0,3,1,7,0.0,1.0,25,0,0,0.0,1,1.0,0.0,0,0,0,0,0,false
    0.460829,2,6,2,0.324675,0.38983,25,23,2,2,2,16,13,11,7,11,22,0.1,0.078125,5,3,1,9,0.078125,5,3,5,3,3,2,59,77,43,49,3,8,11,2,9,0,95,29,35,70,0,59,77,43,49,3,8,11,2,9,0,95,29,35,70,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8571,0,10,4,6,5,55,2,3,52,56.0,11.0,128,0,0,0.0,9,30.0,16.0,0,0,0,0,0,true
    0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0.736842,14,14,1,0,0.736842,14,2,2,0,0,1,5,20,7,4,3,0,0,3,0,0,11,0,3,7,3,5,20,7,4,3,0,0,3,0,0,11,0,3,7,3,2,1,0,2,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,33.8571,30.8571,1,3,1,0,0,0,3,4,0.0,1.0,19,0,0,3.0,1,1.0,0.0,1.47165,0.0013687,0.112489,7.91776,0.140566,false
    0,0,0,0,0,0,0,0,1,4,4,23,5,6,7,8,17,0.222222,0.242991,26,20,2,7,0.242991,26,2,2,0,0,1,81,109,6,4,5,4,9,0,8,0,9,41,1,8,0,81,109,6,4,5,4,9,0,8,0,9,41,1,8,0,44,3,0,7,402.0,70.0,9.13636,309.0,70.0,7.02273,93.0,51.0,2.11364,367.0,82.4879,7,2,4,3,21,0,5,1,71.0,7.0,12,0,1,0.0,6,24.0,19.0,6.6689,0.00932822,0.00865949,0.153373,4.46134e-4,false
    0,0,0,0,0,0,0,0,1,1,1,18,0,2,1,0,10,0.1,0.166667,12,10,1,9,0.166667,12,0,0,0,0,0,60,72,3,2,3,2,10,3,9,2,10,34,3,9,2,60,72,3,2,3,2,10,3,9,2,10,34,3,9,2,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7143,0,1,1,1,0,45,0,3,0,55.0,10.0,8,0,1,3.0,9,27.0,18.0,0,0,0,0,0,false
    0.565217,1,5,1,0.309524,0.448276,13,13,3,4,4,8,4,1,1,2,6,0.5,0.292683,12,10,1,1,0.292683,12,1,1,0,0,1,29,42,19,11,1,0,4,0,1,0,62,12,3,17,4,29,42,19,11,1,0,4,0,1,0,62,12,3,17,4,14,4,0,6,35.0,10.0,2.5,15.0,4.0,1.07143,20.0,10.0,1.42857,300.0,78.1429,1,2,1,0,6,0,1,18,28.0,4.0,62,0,0,0.0,1,8.0,7.0,6.94335,0.00298956,0.00976588,0.162444,0.00112919,false
