@RELATION GitHub-unified-file.arff

    @ATTRIBUTE McCC NUMERIC
    @ATTRIBUTE CLOC NUMERIC
    @ATTRIBUTE PDA NUMERIC
    @ATTRIBUTE PUA NUMERIC
    @ATTRIBUTE LLOC NUMERIC
    @ATTRIBUTE LOC NUMERIC
    @ATTRIBUTE NumberOfCommitters NUMERIC
    @ATTRIBUTE NumberOfDeveloperCommits NUMERIC
    @ATTRIBUTE NumberOfPreviousModifications NUMERIC
    @ATTRIBUTE NumberOfPreviousFixes NUMERIC
    @ATTRIBUTE bug {true,false}

@DATA
    1,0,0,3,7,29,0,2,3,343,false
    2,0,0,3,27,51,0,2,3,343,false
    11,0,0,3,89,124,0,1,1,2597,false
    1,0,0,23,26,56,0,2,2,219,false
    1,0,22,1,110,297,1,4,4,1464,false
    1,0,0,4,10,33,0,2,3,343,false
    5,0,0,4,43,71,0,2,3,343,false
    2,0,1,3,20,51,0,3,8,263,false
    3,0,0,7,49,79,0,3,4,1283,false
    1,0,0,12,16,47,0,1,1,1464,false
    28,0,0,14,141,182,0,1,2,1464,true
    1,0,0,6,11,36,0,1,1,1464,false
    1,0,0,6,27,54,0,1,1,1464,false
    1,0,12,2,21,151,0,4,16,1464,false
    1,0,0,16,72,110,0,4,10,263,false
    1,0,0,2,7,27,0,3,5,263,false
    9,0,10,5,122,238,0,4,10,263,false
    5,0,2,3,41,76,0,4,8,1283,false
    1,0,1,0,8,38,0,1,2,1464,false
    1,0,2,0,6,32,0,1,2,1283,false
    1,0,2,0,4,42,0,1,4,1464,false
    1,0,3,1,7,48,0,3,6,263,false
    1,0,0,2,4,24,0,2,3,263,false
    1,0,0,7,10,37,0,2,3,263,false
    17,0,1,4,95,147,0,5,10,423,false
    1,0,2,1,14,43,0,2,2,263,false
    1,0,0,5,17,42,0,2,3,1283,false
    1,0,8,0,13,111,0,3,5,1464,false
    17,0,1,9,131,181,1,3,7,1464,false
    1,0,1,10,39,78,0,4,7,423,false
    1,0,2,0,8,45,0,4,6,263,false
    1,0,1,6,25,58,0,2,6,1283,false
    2,0,1,3,120,172,1,5,16,592,false
    10,0,2,27,645,815,0,7,38,1464,false
    6,0,1,17,366,496,0,7,27,1464,false
    14,0,1,16,314,438,0,7,28,1464,false
    27,0,1,13,436,594,1,7,30,1464,false
    6,0,1,7,108,176,0,4,6,2597,false
    1,0,1,2,120,207,0,3,5,1464,false
    17,0,2,7,209,292,0,5,21,2597,false
    2,0,1,1,31,63,1,1,2,1464,false
    14,0,0,7,138,190,0,3,4,263,false
    10,0,6,12,167,280,0,2,2,1283,false
    2,0,0,15,94,143,4,4,10,1464,false
    7,0,2,5,59,132,0,3,4,263,false
    1,0,2,3,25,60,1,5,12,1283,false
    6,0,2,0,28,75,3,3,7,1283,true
    1,0,0,9,34,64,0,4,9,263,false
    1,0,0,3,27,63,0,6,11,2597,false
    1,0,1,3,21,59,0,3,6,2597,false
    24,0,7,3,132,273,4,6,23,1464,true
    10,0,1,4,53,110,0,6,10,592,false
    1,0,1,0,7,35,1,5,13,1464,false
    7,0,1,1,65,113,2,6,22,1283,true
    1,0,0,4,8,29,2,1,2,1464,false
    1,0,0,4,47,77,2,1,2,1464,false
    7,0,0,2,30,56,0,1,1,2597,false
    7,0,6,0,57,116,0,1,1,592,false
    11,0,1,0,73,113,0,1,1,592,true
    2,0,0,5,30,56,0,3,4,1283,false
    1,0,0,4,30,55,0,4,5,2597,false
    4,0,0,8,52,81,0,3,4,1283,false
    1,0,4,4,12,64,0,2,2,2597,true
    5,0,0,8,47,77,0,5,13,1464,true
    1,0,1,2,6,32,0,1,1,592,false
    1,0,1,2,22,52,0,3,4,263,false
    1,0,0,7,11,38,0,1,4,343,false
    3,0,0,7,54,84,0,1,4,343,false
    4,0,0,9,58,88,0,3,4,1283,false
    1,0,0,3,7,30,1,1,2,2597,false
    11,0,0,7,94,127,1,2,3,2597,false
    1,0,0,4,24,49,0,3,4,1283,false
    1,0,0,5,36,62,0,3,4,1283,true
    1,0,0,6,10,36,0,1,2,1464,false
    1,0,0,8,51,80,0,3,6,1283,false
    1,0,6,47,62,157,0,4,7,423,false
    52,0,0,55,472,584,0,7,23,1464,true
    10,0,0,8,83,115,0,4,6,1464,true
    12,0,0,7,66,95,0,4,6,2597,true
    1,0,2,47,56,135,0,8,16,423,false
    1,0,0,9,12,43,0,4,4,343,false
    19,0,0,12,152,194,0,6,27,1464,true
    1,0,5,0,8,62,0,2,3,2597,false
    18,0,0,12,127,171,1,5,12,1283,true
    1,0,11,0,15,87,0,1,1,592,false
    7,0,1,12,71,113,0,1,1,592,true
    19,0,0,56,423,528,2,9,46,1283,true
    1,0,0,13,17,49,0,4,6,1283,false
    1,0,0,13,123,163,0,7,21,1464,false
    2,0,2,0,21,62,3,3,7,1283,false
    1,0,3,0,11,49,1,1,3,1464,false
    18,0,0,11,130,167,0,4,8,1464,true
    14,0,0,10,102,137,0,3,5,1464,true
    14,0,0,11,105,142,0,4,7,1464,true
    10,0,0,7,77,109,0,1,1,1464,true
    1,0,0,7,10,35,0,1,2,1464,false
    16,0,0,9,86,118,0,4,8,2597,true
    1,0,1,5,11,49,0,1,2,423,false
    10,0,0,6,64,100,1,3,7,592,false
    1,0,1,1,9,37,0,1,2,423,false
    1,0,0,3,7,28,0,1,1,2597,false
    1,0,0,4,22,45,0,2,3,343,false
    1,0,0,10,15,45,0,5,12,2597,false
    7,0,0,10,75,108,0,6,16,2597,false
    1,0,14,17,44,181,2,6,17,423,true
    46,0,3,42,413,555,7,7,31,423,true
    1,0,3,3,25,69,2,2,2,1283,false
    11,0,0,2,77,109,1,1,2,2597,false
    1,0,0,2,14,36,0,1,1,2597,false
    1,0,0,5,9,34,0,1,2,1464,false
    1,0,0,5,25,51,0,3,5,343,false
    5,0,1,1,43,83,3,3,7,1283,true
    1,0,0,5,16,41,0,1,1,423,false
    6,0,1,9,85,129,0,4,5,263,false
    1,0,0,2,6,26,0,1,1,2597,false
    9,0,1,7,58,97,0,3,3,1283,true
    9,0,1,9,84,125,0,2,2,1283,true
    8,0,0,8,62,97,0,3,3,263,false
    8,0,0,6,38,65,0,3,3,263,false
    1,0,1,2,14,42,0,2,3,263,false
    1,0,1,1,9,37,0,1,2,1464,false
    1,0,1,2,12,41,0,2,3,1283,false
    1,0,1,1,9,35,0,4,6,263,false
    1,0,1,1,23,50,0,4,6,263,false
    1,0,1,9,54,87,0,6,10,1464,false
    4,0,0,6,42,68,0,1,1,263,false
    1,0,0,3,22,44,0,1,1,263,false
    1,0,0,2,36,63,0,3,3,263,false
    1,0,2,6,56,96,0,3,5,263,false
    2,0,1,2,57,87,0,5,8,343,false
    1,0,0,2,47,75,0,2,2,1283,false
    5,0,0,9,134,176,0,5,9,343,false
    1,0,0,4,47,74,0,3,4,263,false
    10,0,0,3,174,234,0,5,22,1464,false
    4,0,0,2,218,378,0,7,33,1464,false
    4,0,0,2,215,375,0,6,23,1464,false
    9,0,0,8,66,96,0,4,5,592,false
    2,0,0,3,45,70,0,4,6,592,false
    1,0,0,2,78,104,0,3,4,263,false
    1,0,1,1,13,39,0,1,3,2597,false
    1,0,0,6,59,84,0,4,4,263,true
    12,0,2,5,167,288,0,5,11,2597,false
    9,0,0,1,195,266,0,7,23,2597,false
    5,0,1,21,463,618,0,6,19,2597,false
    3,0,0,2,148,248,0,5,15,2597,false
    5,0,1,20,446,597,0,5,13,2597,false
    1,0,0,3,26,47,0,3,8,1283,false
    1,0,0,2,15,36,0,2,2,263,false
    1,0,0,3,23,45,0,4,5,1464,false
    1,0,0,6,90,124,0,3,6,1283,false
    1,0,0,5,94,131,0,3,8,263,false
    1,0,0,4,44,83,0,5,9,1464,false
    1,0,0,7,78,110,0,3,4,263,false
    1,0,0,6,92,126,0,3,7,1283,false
    21,0,0,11,182,340,0,7,19,2597,false
    1,0,0,4,49,88,0,5,16,343,false
    21,0,0,25,504,762,0,8,36,343,false
    1,0,0,11,130,247,0,2,4,1283,false
    13,0,0,15,268,364,0,2,8,1283,false
    9,0,2,29,563,719,0,5,18,1464,false
    1,0,0,2,17,38,0,3,5,1464,false
    3,0,0,5,83,117,0,3,8,1464,false
    1,0,0,2,24,46,0,2,2,263,false
    4,0,0,7,282,367,0,6,15,1464,false
    2,0,0,6,261,346,0,4,10,1464,false
    1,0,0,2,16,38,0,1,1,2597,false
    8,0,1,1,27,65,0,1,1,2597,false
    1,0,5,0,17,58,0,1,1,2597,false
    8,0,0,6,113,163,0,4,6,2597,false
    1,0,0,3,56,84,0,3,3,263,false
    1,0,0,7,40,68,0,2,4,263,false
    5,0,2,3,80,116,0,2,4,263,false
    2,0,0,4,53,79,0,2,2,263,false
    3,0,1,4,58,101,0,2,2,263,false
    4,0,0,5,58,86,0,2,2,263,false
    1,0,0,3,34,59,0,2,2,263,false
    1,0,0,2,19,43,0,2,2,263,false
    1,0,0,2,19,43,0,2,2,263,false
    1,0,0,2,19,43,0,2,2,263,false
    4,0,0,2,46,85,1,4,8,1464,false
    2,0,4,8,189,272,0,5,9,343,false
    1,0,0,1,17,38,0,2,2,263,false
    43,0,3,0,284,520,0,2,3,263,false
    2,0,4,7,166,232,0,2,4,1283,false
    49,0,0,2,280,304,4,0,2,4843,false
    1,0,0,7,32,44,1,0,1,1328,false
    41,0,13,10,347,612,8,0,1,4843,false
    2,0,7,0,22,75,3,0,1,4843,false
    2,0,0,0,43,56,16,0,1,4843,false
    370,0,0,12,1206,1344,49,0,2,4843,false
    227,0,0,19,1077,1193,41,0,1,4843,true
    11,0,0,17,147,178,14,0,1,4843,false
    73,0,0,10,273,307,21,0,1,4843,false
    28,0,0,0,151,166,2,0,1,4843,false
    1,0,0,1,3,8,3,0,1,4843,false
    53,0,0,0,291,330,8,0,1,4843,false
    6,0,0,0,94,107,4,0,1,4843,false
    7,0,0,0,83,96,3,0,1,4843,false
    219,0,0,0,1016,1172,53,0,1,4843,false
    23,0,0,5,104,125,12,0,1,4843,false
    28,0,0,15,264,301,17,0,1,4843,false
    35,0,0,1,147,185,7,0,1,4843,false
    28,0,0,1,278,321,16,0,3,4843,false
    1,0,0,1,33,34,4,0,1,4843,false
    24,0,0,1,200,239,8,0,2,4843,false
    151,0,0,0,504,599,12,0,1,4843,false
    40,0,0,0,97,104,4,0,1,4843,false
    61,0,0,10,452,502,24,0,1,4843,false
    15,0,0,2,77,85,4,0,1,4843,false
    117,0,0,6,609,654,21,0,2,4843,false
    8,0,0,0,63,73,3,0,1,4843,false
    7,0,0,0,107,125,12,0,3,75,false
    23,0,0,0,167,177,20,0,1,4843,false
    7,0,0,0,48,55,8,0,1,4843,false
    79,0,1,3,440,517,9,0,1,4843,false
    8,0,0,4,64,78,7,0,1,4843,false
    24,0,0,2,104,122,8,0,1,4843,false
    16,0,0,0,88,100,3,0,1,4843,false
    4,0,0,0,69,90,3,0,1,4843,false
    4,0,0,0,68,89,3,0,1,4843,false
    3,0,0,0,72,89,3,0,2,4843,false
    4,0,0,0,68,89,2,0,1,4843,false
    3,0,0,0,62,76,29,0,1,4843,false
    4,0,0,0,68,89,2,0,1,4843,false
    163,0,0,9,810,905,65,0,2,4843,false
    7,0,0,8,57,82,2,0,1,4843,false
    4,0,0,0,38,44,7,0,1,4843,false
    13,0,0,3,64,77,4,0,1,4843,false
    15,0,0,0,88,101,6,0,1,4843,false
    2,0,0,0,60,76,6,0,1,4843,false
    12,0,0,0,117,134,20,0,1,4843,false
    18,0,0,1,146,156,15,0,1,4843,false
    41,0,0,0,207,227,22,0,1,4843,false
    2,0,0,0,56,72,4,0,1,4843,false
    14,0,0,2,78,94,4,0,1,4843,false
    38,0,0,0,227,248,13,0,1,4843,false
    22,0,0,2,103,121,4,0,1,4843,false
    10,0,0,0,75,85,5,0,1,4843,false
    25,0,0,0,163,183,14,0,1,4843,false
    20,0,0,0,105,112,12,0,1,4843,false
    5,0,0,0,99,117,4,0,1,4843,false
    11,0,0,0,62,71,1,0,1,4843,false
    7,0,0,0,48,57,9,0,1,4843,false
    22,0,0,0,103,111,1,0,1,4843,false
    26,0,0,0,177,202,20,0,1,4843,false
    23,0,0,0,138,151,11,0,1,4843,false
    9,0,0,0,65,72,10,0,1,4843,false
    19,0,0,0,161,246,12,0,1,4843,false
    43,0,0,0,177,206,25,0,2,4843,false
    32,0,0,0,186,213,11,0,1,4843,false
    16,0,0,0,136,154,13,0,1,4843,true
    39,0,0,0,244,260,21,0,1,4843,false
    50,0,0,0,305,330,25,0,1,4843,true
    36,0,0,0,215,235,18,0,1,4843,false
    9,0,0,0,81,91,3,0,1,4843,false
    42,0,0,1,214,233,16,0,1,4843,true
    9,0,0,3,70,81,4,0,1,4843,false
    15,0,0,8,131,151,8,0,1,4843,false
    6,0,0,9,64,79,7,0,1,4843,false
    6,0,0,9,64,79,4,0,1,4843,false
    6,0,0,9,64,79,6,0,1,4843,false
    10,0,0,0,52,75,6,0,1,4843,false
    49,0,0,0,378,396,4,0,1,4843,false
    6,0,0,0,36,47,1,0,1,4843,false
    28,0,0,0,138,146,4,0,1,4843,false
    1,0,0,0,22,42,7,0,1,4843,false
    77,0,0,14,433,479,23,0,1,4843,true
    82,0,0,0,365,419,7,0,1,4843,false
    48,0,0,0,272,303,8,0,1,4843,false
    2,0,0,0,57,73,4,0,1,4843,false
    2,0,0,0,46,60,1,0,1,152,false
    30,0,0,0,195,216,10,0,1,4843,false
    19,0,0,1,121,129,2,0,1,4843,false
    42,0,0,8,276,321,4,0,1,4843,false
    5,0,0,10,72,89,8,0,1,4843,false
    12,0,0,3,173,206,6,0,2,1328,false
    3,0,0,0,82,101,5,0,1,4843,false
    5,0,0,10,72,89,10,0,1,4843,false
    2,0,0,0,51,66,4,0,1,4843,false
    2,0,0,0,51,66,3,0,1,4843,false
    66,0,0,0,358,387,11,0,2,4843,true
    32,0,0,0,180,219,3,0,1,4843,false
    5,0,1,8,47,71,3,0,1,4843,false
    38,0,0,0,231,257,20,0,1,4843,false
    10,0,0,0,86,103,9,0,1,4843,false
    18,0,0,0,112,127,10,0,1,4843,false
    5,0,0,0,75,92,7,0,1,4843,false
    1,0,0,0,27,36,7,0,1,4843,false
    3,0,0,0,67,83,3,0,1,4843,false
    5,0,0,0,63,80,7,0,1,4843,false
    11,0,0,0,94,103,15,0,1,4843,false
    9,0,0,1,51,60,6,0,1,4843,false
    30,0,0,9,211,232,27,0,1,4843,false
    27,0,0,0,176,186,17,0,1,4843,false
    15,0,0,0,163,186,2,0,1,4843,false
    5,0,0,0,68,85,7,0,1,4843,false
    13,0,0,0,196,225,3,0,2,4843,true
    5,0,0,0,44,52,8,0,1,4843,false
    1,0,0,4,21,27,1,0,1,4843,false
    38,0,1,4,207,248,22,0,3,4843,false
    18,0,1,5,129,163,25,0,3,4843,false
    338,0,0,0,1023,1238,42,0,2,4843,false
    12,0,0,0,408,540,6,0,1,4843,false
    1,0,0,9,53,88,9,0,2,4843,false
    2,0,0,2,27,33,69,0,7,12,false
    32,0,15,0,251,443,1,0,1,4843,false
    35,0,0,10,159,181,2,0,1,4843,false
    164,0,4,32,1349,1815,142,0,5,1328,true
    6,0,0,7,81,116,11,0,2,4843,true
    1,0,0,0,11,13,1,0,1,4843,false
    6,0,0,4,66,85,8,0,2,4843,false
    4,0,0,4,38,49,9,0,1,4843,false
    138,0,0,11,701,887,69,0,4,56,false
    15,0,1,17,367,497,97,0,5,56,false
    15,0,0,10,104,125,3,0,2,4843,false
    23,0,14,0,122,226,1,0,1,4843,false
    20,0,17,0,113,231,1,0,1,4843,false
    42,0,0,2,200,270,5,0,2,4843,false
    3,0,0,5,40,50,5,0,1,4843,false
    1,0,1,0,23,92,13,0,3,1328,false
    1,0,0,1,6,8,1,0,1,4843,false
    16,0,3,1,67,91,2,0,2,20,false
    1,0,0,4,19,24,1,0,1,4843,false
    16,0,4,1,180,256,11,0,2,4843,false
    2,0,4,1,26,66,2,0,2,20,false
    31,0,0,0,210,241,28,1,4,56,false
    20,0,0,0,143,151,6,0,1,4843,false
    18,0,0,0,87,116,5,0,2,4843,false
    1,0,0,0,14,19,6,0,2,4843,false
    1,0,0,0,14,19,6,0,2,4843,false
    1,0,2,0,5,33,1,0,1,4843,false
    3,0,0,1,37,53,8,0,1,4843,false
    63,0,1,8,417,517,37,0,3,1328,false
    18,0,0,0,73,86,6,0,2,1328,false
    47,0,3,14,284,437,9,0,2,4843,false
    1,0,0,5,27,38,2,0,1,4843,false
    19,0,0,0,312,405,17,0,2,1328,false
    93,0,0,0,307,361,31,0,4,12,false
    25,0,3,4,115,152,6,0,2,4843,false
    45,0,2,6,238,407,8,0,2,4843,false
    3,0,5,0,39,88,2,0,1,4843,false
    1,0,0,2,17,23,2,0,1,4843,false
    19,0,0,5,199,222,6,0,1,4843,false
    2,0,0,5,36,47,5,0,1,4843,false
    2,0,0,4,27,37,4,0,1,4843,false
    8,0,0,0,65,74,4,0,1,4843,false
    10,0,2,5,59,79,4,0,3,1328,false
    24,0,0,0,184,193,12,0,2,4843,false
    1,0,0,1,12,15,1,0,1,4843,false
    12,0,14,0,82,169,1,0,1,4843,false
    13,0,0,3,99,111,7,0,3,1328,false
    2,0,0,5,25,33,1,0,1,1328,false
    6,0,1,3,104,125,17,0,2,4843,false
    1,0,0,1,27,39,6,0,1,4843,false
    10,0,0,0,62,86,3,0,2,4843,false
    5,0,0,0,42,54,8,0,2,4843,false
    107,0,0,0,527,622,28,0,1,4843,false
    23,0,1,12,157,196,10,0,3,4843,true
    10,0,0,0,63,116,1,0,1,4843,false
    14,0,6,0,77,133,3,0,2,4843,false
    3,0,4,1,28,75,3,0,2,4843,false
    4,0,0,0,62,72,3,0,2,4843,false
    2,0,0,0,23,31,3,0,2,4843,false
    11,0,0,0,82,117,3,0,2,4843,false
    9,0,0,0,83,93,3,0,2,4843,false
    136,0,6,6,440,593,9,0,3,1328,false
    26,0,15,3,168,289,3,0,2,4843,false
    3,0,0,0,30,39,3,0,2,4843,false
    1,0,0,0,32,46,3,0,2,4843,false
    1,0,8,0,50,115,1,0,1,1328,false
    52,0,2,10,367,443,5,0,4,1328,false
    216,0,7,4,822,1067,3,0,2,4843,false
    18,0,0,0,111,130,6,0,2,4843,false
    221,0,19,15,1145,1504,7,0,3,4843,false
    13,0,0,1,51,94,4,0,1,4843,false
    1,0,0,0,17,21,3,0,2,4843,false
    1,0,0,0,15,23,3,0,2,4843,false
    38,0,5,2,205,258,3,0,2,4843,false
    45,0,0,0,247,306,4,0,2,4843,false
    41,0,29,0,413,786,6,0,1,4843,false
    4,0,0,2,27,31,1,0,1,4843,false
    18,0,1,9,218,281,4,0,1,4843,false
    8,0,0,0,98,136,6,0,1,4843,false
    33,0,0,0,395,478,12,0,1,4843,true
    10,0,2,3,61,83,8,0,2,4843,true
    12,0,1,5,76,121,13,0,2,4843,false
    6,0,0,2,25,35,1,0,1,4843,false
    4,0,0,0,51,74,6,0,1,4843,false
    19,0,0,0,94,111,4,0,1,4843,false
    344,0,0,13,1888,2214,96,0,2,4843,true
    28,0,0,7,300,339,24,0,1,4843,false
    2,0,2,4,34,69,3,0,1,4843,false
    36,0,2,9,223,262,10,0,2,4843,false
    81,0,2,1,297,388,3,0,1,4843,false
    22,0,5,15,241,370,4,0,1,4843,false
    26,0,3,2,128,197,4,0,1,4843,false
    14,0,3,1,88,121,2,0,1,4843,false
    5,0,5,0,30,56,2,0,1,4843,false
    17,0,1,4,99,146,3,0,1,4843,false
    86,0,0,9,402,434,45,0,4,4843,true
    14,0,0,0,80,96,10,0,1,4843,false
    13,0,0,0,59,66,6,0,2,4843,false
    7,0,0,0,168,200,10,0,1,4843,false
    37,0,0,12,262,285,16,0,2,1328,false
    34,0,0,5,279,295,6,0,2,4843,false
    1,0,0,5,19,27,1,0,1,152,false
    2,0,0,2,31,39,1,0,1,152,false
    17,0,0,13,162,186,20,0,5,4843,false
    5,0,0,7,40,52,1,0,1,152,false
    5,0,0,2,42,52,7,0,3,4843,false
    74,0,0,9,730,877,33,0,4,4843,false
    4,0,0,13,59,75,1,0,1,152,false
    7,0,0,3,46,53,2,0,2,4843,false
    7,0,0,3,34,44,1,0,1,1328,false
    129,0,1,18,577,664,16,0,2,1328,true
    78,0,0,8,300,346,10,0,2,4843,true
    15,0,1,5,65,87,1,0,1,1328,false
    9,0,2,4,81,107,1,0,1,1328,false
    38,0,0,5,179,198,5,0,2,4843,false
    6,0,0,3,35,42,1,0,1,1328,false
    2,0,0,3,15,21,1,0,1,1328,false
    18,0,0,8,82,94,5,0,2,1328,true
    32,0,7,0,339,459,1,0,1,1328,false
    1,0,0,2,5,7,4,0,2,1328,true
    25,0,2,0,100,148,1,0,1,1328,false
    11,0,0,2,33,39,2,0,1,1328,false
    4,0,0,2,21,26,1,0,1,1328,false
    7,0,6,1,82,136,1,0,1,1328,false
    3,0,0,3,22,29,2,0,2,4843,false
    14,0,0,8,64,77,1,0,1,1328,false
    19,0,0,10,109,127,8,0,2,1328,true
    12,0,0,0,52,66,6,0,1,4843,false
    91,0,0,3,614,687,37,1,2,4843,false
    1,0,0,2,12,17,3,0,1,4843,false
    1,0,0,2,12,17,2,0,1,4843,false
    4,0,0,4,43,53,16,0,4,4843,true
    5,0,0,4,45,55,5,0,1,4843,true
    8,0,0,3,64,72,4,0,1,4843,false
    7,0,0,3,57,66,15,0,2,4843,false
    1,0,0,4,56,68,9,0,1,4843,false
    2,0,0,6,43,55,10,0,1,4843,false
    72,0,0,8,418,481,40,0,3,4843,false
    7,0,0,0,73,92,21,0,2,4843,false
    32,0,1,9,197,249,17,0,1,4843,false
    3,0,0,0,30,49,20,0,2,4843,false
    208,0,1,27,986,1098,90,0,3,4843,false
    28,0,0,10,145,172,24,0,3,4843,false
    2,0,0,7,27,47,6,0,2,4843,false
    48,0,0,20,292,348,31,0,2,4843,false
    56,0,0,9,473,534,69,0,4,4843,false
    21,0,1,3,161,204,19,0,2,4843,false
    28,0,6,2,153,255,5,0,1,4843,false
    1,0,0,5,21,48,5,0,2,4843,false
    1,0,0,2,11,14,3,0,1,4843,false
    7,0,0,1,29,31,2,0,1,4843,false
    6,0,0,0,32,55,4,0,1,4843,false
    25,0,0,5,307,346,49,0,2,4843,false
    26,0,0,6,535,620,36,0,1,4843,false
    3,0,0,4,63,76,5,0,1,4843,false
    6,0,0,0,30,53,3,0,1,4843,false
    15,0,0,3,263,318,33,0,2,4843,false
    1,0,0,6,19,29,3,0,1,4843,false
    9,0,0,5,85,98,6,0,1,4843,false
    1,0,0,10,56,71,3,0,1,4843,false
    11,0,0,3,55,62,1,0,1,4843,false
    27,0,3,22,429,693,20,0,1,4843,false
    90,0,1,14,601,773,77,0,6,4843,false
    20,0,0,8,135,168,13,0,2,4843,false
    1,0,3,1,8,35,6,0,3,4843,false
    6,0,0,0,108,131,3,0,1,4843,false
    239,0,9,24,1582,1925,16,0,2,1328,false
    27,0,1,5,180,222,6,0,2,1328,false
    4,0,1,4,230,541,3,0,1,4843,false
    2,0,0,2,19,24,1,0,1,4843,false
    4,0,0,5,377,584,39,0,2,4843,false
    6,0,0,2,26,32,2,0,1,4843,false
    33,0,0,4,398,513,28,0,2,4843,false
    5,0,0,2,23,29,2,0,1,4843,false
    14,0,0,3,279,340,22,0,2,1328,false
    61,0,0,12,520,590,5,0,4,4843,false
    4,0,0,2,61,76,5,0,2,1328,false
    5,0,1,4,189,534,1,0,1,4843,false
    5,0,0,2,105,123,3,0,1,4843,false
    12,0,4,0,141,315,3,0,1,4843,false
    4,0,0,7,39,52,5,0,1,4843,false
    31,0,0,5,116,131,4,0,3,4843,false
    9,0,0,3,79,91,9,0,1,4843,false
    5,0,0,0,36,41,3,0,2,1328,false
    61,0,1,7,437,712,4,0,1,4843,false
    65,0,0,7,303,446,1,0,1,4843,false
    3,0,0,4,75,85,2,0,1,4843,false
    61,0,1,7,433,705,3,0,1,4843,false
    5,0,0,5,41,52,8,0,2,4843,false
    20,0,0,1,185,232,5,0,1,4843,false
    17,0,0,0,146,177,26,0,3,4843,false
    7,0,0,6,40,49,9,0,3,4843,false
    1,0,0,2,14,20,4,0,1,4843,false
    21,0,0,3,295,326,15,0,1,4843,false
    75,0,0,17,473,519,22,0,1,4843,true
    1,0,0,5,20,27,4,0,1,4843,false
    1,0,0,2,13,18,2,0,1,4843,false
    2,0,0,3,58,66,2,0,1,4843,false
    12,0,0,4,181,220,4,0,1,4843,false
    20,0,0,13,158,181,5,0,1,4843,false
    1,0,0,5,20,27,4,0,1,4843,false
    1,0,0,2,13,21,2,0,1,4843,false
    1,0,0,2,14,20,2,0,1,4843,false
    3,0,0,3,56,66,2,0,1,4843,false
    48,0,0,9,363,394,8,0,1,4843,false
    1,0,0,5,20,27,3,0,1,4843,false
    1,0,0,2,13,18,1,0,1,4843,false
    19,0,0,4,155,170,16,0,1,4843,true
    14,0,0,4,136,159,14,0,2,4843,false
    2,0,0,6,57,67,1,0,1,4843,false
    1,0,1,1,18,27,3,0,1,4843,false
    1,0,0,2,14,20,2,0,1,4843,false
    15,0,0,3,147,175,14,0,1,4843,false
    80,0,0,12,508,544,26,0,1,4843,false
    1,0,0,5,20,27,3,0,1,4843,false
    1,0,0,2,16,21,3,0,1,4843,false
    5,0,0,2,35,42,2,0,1,4843,false
    3,0,0,3,56,64,2,0,1,4843,false
    17,0,0,4,228,274,10,0,1,4843,false
    12,0,0,11,155,191,10,0,1,4843,false
    1,0,0,5,20,28,3,0,1,4843,false
    1,0,0,2,13,18,1,0,1,4843,false
    5,0,0,2,35,42,6,0,1,4843,false
    3,0,0,3,69,77,7,0,1,4843,false
    3,0,0,3,113,138,15,0,1,4843,false
    146,0,0,13,849,908,55,0,3,4843,false
    1,0,0,5,20,27,4,0,1,4843,false
    1,0,0,2,13,21,3,0,1,4843,false
    1,0,0,2,13,19,2,0,2,4843,false
    102,0,0,7,479,544,3,0,2,152,false
    1,0,0,5,20,27,1,0,1,152,false
    1,0,0,2,12,18,1,0,1,152,false
    4,0,0,3,137,162,2,0,2,4843,false
    11,0,0,7,129,152,11,0,1,4843,false
    5,0,0,2,35,42,5,0,1,4843,false
    3,0,0,3,56,64,2,0,1,4843,false
    3,0,0,2,109,134,15,0,1,4843,false
    32,0,0,11,271,310,16,0,1,4843,false
    1,0,0,5,20,28,3,0,1,4843,false
    1,0,0,2,13,21,1,0,1,4843,false
    5,0,0,2,35,42,6,0,1,4843,false
    3,0,0,3,79,87,9,0,1,4843,false
    4,0,0,3,113,139,16,0,1,4843,false
    17,0,0,15,181,208,35,0,2,4843,false
    1,0,0,5,20,28,4,0,1,4843,false
    1,0,0,2,13,21,3,0,1,4843,false
    1,0,0,2,13,19,3,0,1,4843,false
    1,0,0,3,54,59,6,0,1,4843,false
    140,0,0,11,728,786,39,0,3,4843,true
    1,0,0,7,26,34,4,0,1,4843,false
    1,0,0,2,13,21,3,0,1,4843,false
    1,0,0,2,13,19,2,0,2,4843,false
    43,0,0,8,226,258,4,0,2,4843,false
    1,0,0,7,26,35,1,0,1,152,false
    1,0,0,2,11,16,1,0,1,152,false
    1,0,0,2,13,19,2,0,1,4843,false
    1,0,0,3,34,41,2,0,1,4843,false
    50,0,0,7,314,340,13,0,1,4843,false
    1,0,0,6,23,31,4,0,1,4843,false
    1,0,0,2,13,21,1,0,1,4843,false
    41,0,0,5,351,409,24,3,1,4843,true
    1,0,0,2,13,19,2,0,1,4843,false
    3,0,0,3,86,94,6,0,1,4843,false
    70,0,0,8,414,456,21,0,1,4843,false
    1,0,0,6,23,31,3,0,1,4843,false
    1,0,0,2,13,21,1,0,1,4843,false
    1,0,0,2,18,25,4,0,1,4843,false
    6,0,0,14,142,173,8,0,1,4843,false
    2,0,0,6,31,41,2,0,1,4843,false
    1,0,0,2,24,32,1,0,1,4843,false
